mbd_nearest_1,mbd_nearest_2,mbd_nearest_3,mbd_nearest_4,mbd_nearest_5,cfips
1117,1007,1105,1037,1101,1001
1099,28041,1129,28039,28059,1003
13243,13259,1045,1109,1113,1005
1063,1047,1001,1073,1065,1007
1133,1015,1127,1103,1073,1009
13239,1041,1051,1081,1113,1011
1031,1109,1099,1101,1131,1013
13233,1111,13143,1027,1121,1015
13215,1087,1027,13145,13149,1017
1095,13055,13143,1029,13115,1019
1085,1121,1047,1051,1105,1021
1131,28061,1119,1129,28075,1023
28023,1053,1035,28153,1091,1025
13149,1115,1017,1015,1029,1027
1055,1027,13149,13233,1019,1029
1005,1067,1069,12059,1041,1031
47099,28117,47071,1093,47181,1033
1085,1025,12113,1041,1131,1035
1087,1017,1001,1117,1027,1037
12059,12131,1053,12091,1061,1039
1045,1035,1011,1085,1039,1041
1083,1115,1073,1079,1127,1043
13099,12059,13061,1005,1109,1045
1013,1007,1021,1065,1091,1047
1089,13115,13295,13083,1055,1049
1081,1085,1011,1021,1087,1051
1025,1013,1003,12091,1039,1053
1043,1121,1029,1049,1009,1055
1059,28095,28087,1133,1107,1057
1075,28117,1077,1133,28057,1059
1067,12063,1039,12131,12133,1061
1007,1091,1105,1125,28103,1063
1021,1107,1047,1125,1091,1065
13201,13037,13243,13239,1005,1067
12059,13061,13201,1061,13253,1069
47127,13055,13295,1095,47115,1071
1021,1121,1125,1043,1007,1073
1125,1127,28025,28057,1107,1075
47055,1083,47071,28141,1059,1077
1089,1093,1043,1077,1059,1079
1011,13053,13285,1123,13215,1081
1033,47117,1077,47099,47103,1083
1021,1109,1051,1131,1041,1085
1109,1017,1005,1123,1101,1087
1079,47055,47127,47051,1095,1089
28075,1063,1047,1105,1025,1091
1079,1127,1033,28095,1057,1093
1019,1115,1071,1089,1043,1095
28111,28047,28131,12033,1129,1097
1085,1047,1091,1129,1013,1099
1037,1013,1001,1041,1087,1101
1127,47103,1009,1133,1095,1103
1125,1131,1063,1091,1001,1105
28095,1065,28105,1057,1075,1107
1067,1013,1087,1045,1101,1109
1015,13143,1123,13285,13045,1111
13145,1011,1005,13239,1087,1113
1043,1095,1027,1117,1073,1115
1009,1125,1027,1115,1037,1117
1107,28023,1023,28103,1065,1119
1073,1029,1111,1123,1015,1121
13285,1121,1111,1087,1081,1123
1075,1105,1073,1063,1065,1125
1079,1075,1009,1093,1125,1127
28023,1097,28111,1099,28039,1129
1001,1105,1035,1013,1085,1131
1009,1033,1057,1103,1059,1133
2180,2170,2020,2122,2050,2013
2188,2122,2150,2180,2164,2016
2060,2282,2290,2150,2240,2020
2068,2020,2170,2150,2180,2050
2068,2170,2020,2013,2122,2060
2070,2050,2188,2122,2240,2068
2068,2170,2013,2020,2122,2070
2188,2185,2282,2122,2020,2090
2130,2198,2275,2282,2195,2100
2130,2198,2275,2282,2195,2105
2282,2130,2198,2275,2195,2110
2090,2050,2068,2070,2164,2122
2282,2230,2100,2105,2110,2130
2068,2013,2170,2050,2020,2150
2068,2170,2020,2013,2050,2164
2150,2070,2282,2240,2290,2170
2122,2170,2060,2068,2185,2180
2050,2020,2170,2240,2180,2185
2070,2020,2170,2050,2090,2188
2282,2230,2100,2105,2130,2195
2282,2230,2100,2105,2110,2198
2282,2130,2230,2198,2100,2220
2130,2198,2275,2195,2282,2230
2100,2230,2122,2282,2290,2240
2282,2230,2100,2105,2110,2275
2170,2195,2020,2240,2220,2282
2180,2122,2020,2185,2240,2290
35043,8083,4007,4005,35003,4001
4007,35029,4019,4021,35017,4003
49037,4007,49017,49053,4001,4005
35003,4001,4019,4025,4017,4007
4019,4023,35003,35023,35017,4009
4021,35051,35029,4003,4007,4011
6073,4021,6071,4015,6065,4012
6025,4023,4009,4007,4019,4013
49021,49025,6071,32017,4012,4015
49025,35003,4025,35045,35006,4017
4012,4011,4027,4007,4009,4019
4027,4025,4011,4003,4023,4021
35017,4013,4007,4011,35023,4023
32003,4027,4017,4021,4007,4025
4007,6073,4025,4021,6065,4027
28027,28011,5085,5117,5041,5001
28151,5139,22035,22111,22123,5003
29213,29091,5009,5129,5137,5005
40115,5015,29145,40001,5087,5007
29153,5005,5087,29209,5129,5009
22111,5039,5079,5103,5139,5011
5003,5027,5099,5043,5025,5013
29043,5143,5007,29213,5101,5015
22067,28055,5041,28125,22035,5017
